movement_reference,foreign_reference,lot_no,lot_date,departure_date,arrival_date,qty_pigs,qty_doa,fci_declaration,dep_assurance_no,dep_name,dep_address,dep_postcode,departure_cph,dest_assurance_no,dest_name,dest_address,dest_postcode,dest_cph
844183,HQAANSGQGU,950OQFTCWSVEZ,08/07/2018,20190923,20190924,133,20,3450,46311,HCJZRIKHSY,82 QINUPMFEOE,TH EQD,63/749/2405,807590,XYIRRFRUFI,83 KLCMYUCZYX,FG CAX,96/653/1479
634182,GEWIJGFLQW,609XOZRSBQIAJ,06/10/2018,20190610,20190611,151,17,6687,616774,ZMCGZNAUCU,86 JGHRMXKLIB,CG EOT,44/560/4357,395837,CLPWXWVZSO,34 MMUYNKKALF,RB YJO,90/599/4706
259825,EZFRIDZAKW,599QAQESGBBZS,15/10/2018,20190104,20190105,130,11,1958,188448,JUKIPZFKRU,40 DFFSZEMXUR,AE LHC,95/680/1007,746085,VFWRBUSMYD,84 ICYWCRJGND,GG NOY,46/908/7292
955974,XGINJILBQO,246NIWGQXMKVS,27/02/2018,20190224,20190225,71,10,3199,825607,YYSFGUOWTD,86 VZBIXHKRVK,NM ESZ,56/160/6828,771953,ETSBEVTQXV,19 INWEWPJEOB,YH FHE,10/956/6375
674543,CKEXZIWGZC,367TMBMYYCCDP,24/11/2018,20190520,20190521,99,17,9042,218759,SVGOCEMOVN,31 LASSRTTORM,TU WIQ,15/442/6278,15264,CRLKCLHVCC,96 SWVGCCXWNO,KA QSZ,24/372/9381
252201,BBJGYACOTB,417NBQPOCRCOV,20/11/2018,20190607,20190608,105,14,3177,13056,FDAHNIMJTQ,56 IUKELWRDSQ,SE BGJ,60/351/1398,472809,SEUBSTFAHX,85 PWEIXUTDPD,ER WEA,51/469/9863
650404,XLCTLAWTCN,346SDKJQHXMBV,11/04/2018,20190715,20190716,58,5,4992,948401,MROJNFYKPR,61 IMTJBYBRHC,TA KQA,21/858/3667,281941,TVYWRMGFBI,63 HPHCOOSDRT,LQ RCV,28/693/6939
250266,LZWOMUGLQJ,319JOWVUFXVRL,23/05/2018,20190306,20190307,187,12,3762,86356,KREOIGIRAQ,65 YGBXFYLSBL,FC KAZ,50/311/4527,337383,CEXWAZRVIM,79 LEZVXEDXRB,UV NGQ,90/252/6096
313751,JFFQZMPKGD,841YUFZOSYWSH,28/06/2018,20190411,20190412,132,7,8120,831675,ZXFNHQSKVQ,33 QBWVTZCQDC,PL EVU,47/479/9810,872703,NDJAUUUHSE,58 YABGBZIFUF,FK IDO,68/763/2008
857243,VEDDLFKOTP,577HYFCIEJKXQ,13/09/2018,20190214,20190215,79,12,3296,106024,PMMSGSSDAX,9 LHZQPWPEJA,RL WNX,79/777/3424,188448,JUKIPZFKRU,40 DFFSZEMXUR,AE LHC,95/680/1007
316485,GPTATEQKLC,892VVOKIXMMPX,22/01/2018,20190601,20190602,67,2,8060,795151,WJINPDYGPD,84 WPZTQFRHYE,VJ KRT,13/996/5427,508483,HGDRNSNBQX,80 PTFMAXJCTZ,VX FSO,61/886/4001
773726,KEHGSMOAUQ,393HBCOJKZKRA,03/05/2018,20190505,20190506,87,7,1561,606016,UCSKJQTDFS,77 OLHUAPEZQL,KW OOM,76/503/6250,169409,EPWJLHDCWX,37 EVKFUXAWKG,MN XXN,54/868/1322
843723,XJTDYXYQYD,159XZDWOUTWCL,06/10/2018,20190915,20190916,119,1,5983,822145,TTZHTMMTNL,82 VJQPTJXTLU,OZ AOR,41/891/3641,845135,VXHVFDHTYM,65 JUNQLGIZUL,ND MAC,56/606/9225
736641,ZUPLHDPQRE,792SBWAWAEOUI,25/07/2018,20191025,20191026,140,7,1938,925498,JUQNWIXUVI,17 MWSSRNJMNS,HG DWC,77/713/5478,376454,RNZBHLYONP,64 XCTUIZVGYW,SA UPB,30/435/3761
742040,UWSDLSLPWT,437FEDTWAPVQC,06/08/2018,20190101,20190102,128,22,4090,936402,CXFUXOSKKI,24 DUUYJHVCIR,ZO QQR,21/854/2913,120117,SNLSZHPPBJ,56 OLAPDZMFDP,KV VXT,71/576/8674
449847,RAXYKZHQKT,842OHNKOXYSVY,10/12/2018,20191106,20191107,152,18,5226,508483,HGDRNSNBQX,80 PTFMAXJCTZ,VX FSO,61/886/4001,101963,VYTKVJIXBE,56 DHCNMLWSTB,XX GYX,88/772/3955
989455,ZSAZLHFXHE,526WHMGKRAEJD,07/11/2018,20190707,20190708,157,7,1570,795410,NBEPOVLMPX,22 WTQKEAHKDE,XS ONF,20/455/1511,557745,TEVKNSYWQY,94 XGEDCOSQXS,ET CFN,84/830/7382
873593,BYFBUIYFEA,764OYTTJMMHVB,14/09/2018,20190807,20190808,50,2,6779,233508,VYRCTXLBZR,82 FRUNODBAJB,JQ HUE,13/904/8657,765888,PWNGBDHNBS,35 AUSPUYADPD,CH TRM,51/515/8816
802160,FXCXNZCIHY,857ZQYVYXEOHG,02/01/2018,20191009,20191010,96,5,6303,511944,GFVPSUPMFW,30 EADNWCQBSS,GH PHG,16/801/3047,776204,LMZNPSLSUL,52 SXASTXWBQZ,ID CPQ,20/567/2533
191251,PBWSPFFRZT,474UIVIDDJXKI,17/02/2018,20190106,20190107,108,7,9535,184310,NRGHQZSVTX,65 AKKOWLMNHV,WD REY,88/242/8124,747069,QBMNETNTWL,6 EXJKCFHTWT,SV EKF,69/924/6597
51507,EGLIZPTXWS,798NPUUVTHOVM,19/03/2018,20191014,20191015,71,2,2959,950087,MYCWACKEAP,4 JOCLTUVZRQ,IZ BSE,64/400/9543,224974,KBDQEAWDWT,42 SMOMAKJBXJ,NH NMA,32/280/8465
193126,HNRSCEIKTP,406ZZNEXTPPYL,24/03/2018,20191110,20191111,82,0,5696,556111,VKGVCXKPMW,16 JHYQBVONEQ,DI ROZ,68/891/6323,657936,CDIIXQNJKW,52 ZGDOMPFTML,VQ EME,51/394/2823
887178,OKWRDZUFMA,791JCKEJDXQOT,23/06/2018,20190814,20190815,173,16,2347,855499,EBHCRZBHWY,16 EUKEMBWVPD,FD LJB,84/458/5686,481545,OWRDSAKJYS,67 ZZQRJNQIEQ,CJ URA,48/454/6523
673658,VQCJKOVTYK,910KKKMBXCUJH,19/11/2018,20190226,20190227,148,7,1254,825607,YYSFGUOWTD,86 VZBIXHKRVK,NM ESZ,56/160/6828,300499,EWOADAINMI,44 PLPBPMRYFZ,MS RXG,94/329/8442
980296,SSEFHRLXPB,270WZTAHHSZOR,18/01/2018,20191206,20191207,90,10,7321,716780,FRKCCTZOXG,5 DDOMKHMPZR,NF ZJS,29/943/4823,813962,UJFGYEQGWW,8 DLGGCWDHPQ,WX VDY,41/119/3644
701112,FLRLPIAJHN,778LSTSQOKCNZ,22/06/2018,20190221,20190222,138,21,5166,968943,YLSDTVAITX,93 MCNGRMPQST,GB FRX,76/613/8076,101963,VYTKVJIXBE,56 DHCNMLWSTB,XX GYX,88/772/3955
555678,IYVYJNYTAX,550XGBKSXQOGK,12/02/2018,20191209,20191210,179,31,3900,636449,KOWQHTETUG,94 XGWIBIQRKK,CX QXM,39/103/5541,800223,EFRGCFHUSH,41 PJDFGBTOPB,KV LWA,64/414/8990
279453,MSFQJANVLE,285VMWGPZXDKY,01/06/2018,20190104,20190105,38,0,9847,63462,SPXOERMXAE,98 NUNYEUYXWT,CY ISV,45/864/8651,231518,VAZDZJTPFQ,64 NSPHQDLLET,DX BDC,17/454/1844
936810,DDHWHQTVWW,760PGWBSLYXEO,01/04/2018,20190823,20190824,47,0,7108,807590,XYIRRFRUFI,83 KLCMYUCZYX,FG CAX,96/653/1479,771953,ETSBEVTQXV,19 INWEWPJEOB,YH FHE,10/956/6375
535815,PGJKPJFSOF,532ZTXAUMPOTY,24/03/2018,20191123,20191124,94,15,6784,529084,DKEXOHAUYZ,4 XGFSKJROCM,WG MOX,73/922/4238,765888,PWNGBDHNBS,35 AUSPUYADPD,CH TRM,51/515/8816
848577,EOPHJPCDKC,976IXUNKRNXAI,26/05/2018,20191112,20191113,102,18,1938,168286,IWFLGLZDID,59 YHDFPWCKBI,OZ XKY,39/245/3824,522855,CBAAFWCBDH,5 XACGZZOXHC,VX ZJY,21/199/3081
305410,MRBGFPRGAX,601PTWRPIMLMO,10/08/2018,20190404,20190405,35,6,3666,272511,XEHRXZSJEA,42 MMYOSGVYIK,QV RNN,41/788/6464,959254,OYFCXVTOYL,94 IYOBHBTJWI,YB HWC,69/393/9398
355961,OEDYQUTBZX,447XPQKTHWNRQ,22/06/2018,20190409,20190410,72,1,9528,556111,VKGVCXKPMW,16 JHYQBVONEQ,DI ROZ,68/891/6323,337383,CEXWAZRVIM,79 LEZVXEDXRB,UV NGQ,90/252/6096
816546,NZBERWVHVJ,394YONJJDKXIP,08/02/2018,20191127,20191128,161,23,1750,300499,EWOADAINMI,44 PLPBPMRYFZ,MS RXG,94/329/8442,224906,GLFSSFZJIL,19 SCOPPBRMZX,EE IIW,68/557/2428
722871,SGMSOSISJW,651RPBTOGWKLZ,22/02/2018,20190713,20190714,78,11,1168,15264,CRLKCLHVCC,96 SWVGCCXWNO,KA QSZ,24/372/9381,460343,PIUBSSMRWH,97 UHHQXAQRMA,OF NEZ,44/417/1954
617412,WZNQTELIPC,274YUEEHRNHEH,14/03/2018,20191011,20191012,168,32,7160,52485,EXITTJSUXG,43 QHKXSEFYSQ,BY TUF,48/271/1338,406130,VYZNCRTPHT,32 PNISRLJABQ,GF XXB,86/954/5700
207788,CZUGMFQNQR,746TMZLDNEWCT,16/05/2018,20191111,20191112,84,11,7005,63462,SPXOERMXAE,98 NUNYEUYXWT,CY ISV,45/864/8651,340152,UTJJQAVWNM,26 UNSCMXVTXL,PC OGV,85/466/6078
742258,SOFEXSPRLD,885YWOWLPFKWM,03/04/2018,20190710,20190711,42,0,8016,519473,SXRBZMPDXK,61 CDJPTJWGQA,GS VHD,81/124/5621,764517,GESLUKKCPU,91 GCCAWIUWND,HU XTM,85/507/6791
936990,RPWNHMLPCC,206ZJWZAUCMVH,17/03/2018,20190111,20190112,133,17,9300,281941,TVYWRMGFBI,63 HPHCOOSDRT,LQ RCV,28/693/6939,845135,VXHVFDHTYM,65 JUNQLGIZUL,ND MAC,56/606/9225
987739,ZIRIGQEDEP,229ADMUZKOTRM,19/02/2018,20190117,20190118,76,7,8208,191073,UQSUMEMXWD,62 DSYBAWNEUX,ON WRQ,12/661/2744,722152,ENSTHPISDV,86 EOXEGBEENV,BV YSO,91/427/3924
265400,BLDXFTWOWM,675UYVADCHZFU,24/04/2018,20191222,20191223,37,3,5999,573481,GTDQYFHUAI,14 VPACYRYGVJ,RT VJS,52/672/6036,859851,RLMBYRKGAH,30 JYFPDWFTCA,XE CAQ,46/655/5777
323628,PNSUCETEDM,573GNMPWLCRHT,06/06/2018,20190613,20190614,182,28,2871,905329,YDPWUTSAFO,31 EIXHDJSPSW,OE FGA,34/331/2418,777638,BYPYIFSQON,72 FWQPBPQKQA,MP LDD,12/878/4958
153544,BCENAKTYWT,380KGVOPOQMPO,13/09/2018,20191027,20191028,64,4,5347,270498,PGKNACCBRB,16 BSSYRHSTAD,OE NNF,14/459/4224,497396,FSTCANUOMD,69 ALLQOHZAIO,UH RWS,67/985/6441
628859,FDOWPSVZBT,617OVKXSZEQHP,18/08/2018,20190907,20190908,179,13,8554,881057,PLLAIUMSEE,58 MRKXOVNBRE,QW GES,75/543/1182,189450,LDNRLQFQRD,92 YVAXKHGHKD,ML YTS,52/216/2149
38872,LEXSBZEIGU,947IQJISVLFQJ,02/09/2018,20190216,20190217,74,10,4466,991087,CZQRMKLIAX,1 SXWEAWAATT,FZ ZEC,24/630/2808,124145,EWTLHMSMIE,44 QJPKEYEAGQ,UY HWW,28/293/6782
847437,KOPOUYLDVS,380FRYXSDHDJI,20/03/2018,20191220,20191221,108,18,9841,10490,VVKPWUQIYQ,54 APTYSZANHP,DK JBR,47/396/4417,497396,FSTCANUOMD,69 ALLQOHZAIO,UH RWS,67/985/6441
258583,XAMEDZLFPY,174KFXIVVMKEY,11/05/2018,20191209,20191210,188,27,4738,204607,XUJTCEOQTR,73 UYAHSHIGXQ,AG MQA,68/450/6037,38482,IIFPIEHWPU,41 QDSNMONIZV,IN DLT,70/581/5748
652209,MMEGCGESHF,129MQUVLLFKNY,18/06/2018,20190407,20190408,155,3,7164,405812,OXJKBKNHGF,52 CAUBCBMXCM,KP ULI,37/804/4098,233508,VYRCTXLBZR,82 FRUNODBAJB,JQ HUE,13/904/8657
622208,EHSDEQBZUM,168RVSIJEZEPH,19/03/2018,20190717,20190718,189,29,5681,137101,CQMBGNPMBI,72 AAJJDUFCTV,ZI JGL,47/307/1762,267518,XTPKUWZLBG,16 WTHPOJZCBU,HY ZOL,32/560/2297
935559,RKOLYDRWJY,700TOHHVLGMXF,07/12/2018,20190607,20190608,126,5,1955,872560,ITWIKQVZSH,17 RJTFIBYJDC,LA ERL,25/591/6144,650477,UGEMKKSXUH,4 YMMOIYBJLQ,CG MRB,90/757/7844
979764,KDFSGPWUJP,452APZLVPTDWF,09/04/2018,20190416,20190417,102,15,9501,387043,PASGHQHFLF,59 YUAXRDVUTQ,EP ZET,67/787/7308,221924,NTUEJHQUUK,92 VPETQRICMQ,IP NZY,45/564/2870
59710,FDDGWWCXMX,251NVTFRPTYFK,18/02/2018,20190610,20190611,84,9,1533,917802,WMXPPZSOAB,69 SOKMLQCBXA,XP EFA,57/427/5455,529084,DKEXOHAUYZ,4 XGFSKJROCM,WG MOX,73/922/4238
744096,YAAKRLORUJ,199ETKFNFEMBR,23/06/2018,20190817,20190818,104,8,1150,531653,OKMEOQGEJX,64 YXQPLOMVSC,LD ZYJ,95/383/5454,556329,ZEHPLIKJGD,82 CUESHYVVVN,MD BJS,59/980/5898
491522,QRTFRVOXTT,424ORZFHOKCRM,27/12/2018,20190920,20190921,162,32,6817,813962,UJFGYEQGWW,8 DLGGCWDHPQ,WX VDY,41/119/3644,396785,GHDVKIIONS,85 VSXCNGGYHN,SS ASY,67/158/5432
637327,OZIODEXKND,213ALHAWMMKSB,13/06/2018,20190221,20190222,129,4,7902,760859,PFUHKSUURF,37 NTZBFLTKUS,ZD VDI,57/961/5592,750916,MNLBOXPMZD,82 LYYPCGPFAK,QP YJH,17/138/4106
321261,JQHHJUDNAM,676ZUYKZXBCTF,27/08/2018,20190623,20190624,112,15,5224,948401,MROJNFYKPR,61 IMTJBYBRHC,TA KQA,21/858/3667,460085,GRRBEQGIZO,90 TGYPOHWAUD,GZ GCU,31/892/1857
351771,CJCQFCRIVZ,842HLOWFZCLFX,13/04/2018,20190321,20190322,155,10,6885,777638,BYPYIFSQON,72 FWQPBPQKQA,MP LDD,12/878/4958,748383,UYKNUBIUZB,3 CCPVCWKROE,GR XCE,37/795/5662
387898,TZHPPAFLJZ,477AGQNKVTPKK,04/09/2018,20190714,20190715,90,15,2914,184310,NRGHQZSVTX,65 AKKOWLMNHV,WD REY,88/242/8124,483670,KGQGQOHJJE,30 ZSCMIAEAEF,CX LFD,52/884/1995
947738,HYBVMENCDL,130DBBQEZJTUC,18/08/2018,20190423,20190424,84,16,9837,353833,WGIPSKDKZK,26 EPAZUJVMSV,NF CQY,55/521/8540,86356,KREOIGIRAQ,65 YGBXFYLSBL,FC KAZ,50/311/4527
614306,CJTPNDJGRQ,523XJZWRWVKMT,13/01/2018,20190104,20190105,119,12,8877,760859,PFUHKSUURF,37 NTZBFLTKUS,ZD VDI,57/961/5592,156890,AVUAEAWDDZ,94 YPXJDCTKKY,TR UOY,98/213/3911
144864,AOHFTRCMWP,358NFWZBHSELI,23/08/2018,20191124,20191125,152,13,9883,512789,RCFESYAPIR,20 JBWARRPQFD,MB YST,38/942/4988,925498,JUQNWIXUVI,17 MWSSRNJMNS,HG DWC,77/713/5478
134008,GIUSTJTWIT,504ICIXYARWZG,17/02/2018,20190524,20190525,142,3,3795,472809,SEUBSTFAHX,85 PWEIXUTDPD,ER WEA,51/469/9863,340152,UTJJQAVWNM,26 UNSCMXVTXL,PC OGV,85/466/6078
743069,XOVBQEGVXC,259XYAYMIDHKL,24/05/2018,20191202,20191203,46,1,3117,329566,RFDVUSTUEG,5 VKHJNRRCYK,UN LBN,14/493/9281,791702,FXCEHLNFOB,86 AHMNXHDDSA,YL GSA,12/435/4034
184044,YXAWBZPKBQ,113ALNRKPZRQS,26/08/2018,20190614,20190615,148,20,1426,688323,MHUBAUBZUP,12 YKCVHICNGI,SL IQQ,82/192/1124,289951,ZUORMRSLSM,33 JIITDNNWDB,VM JSF,12/927/6771
553219,QIUOISYYUA,110QCAVDVBXST,23/11/2018,20191220,20191221,128,4,6869,180843,UMUMWTEHLZ,51 RARKREDXMT,EK NTX,94/894/9933,872557,MLKOETEKII,79 SCMCDDRKAA,HC QIA,65/240/3174
766594,LHJKNTVMLM,563FHCOYFUBZH,21/05/2018,20191206,20191207,60,6,9626,921699,TOCWJGEJEF,25 ASZKARRMPC,JC JFU,89/635/3615,566990,DROECGZLNU,37 BEXWEMRNGU,DG VSM,75/345/2020
835698,GQHGWFXXUC,758LQAECDVJBE,28/11/2018,20190108,20190109,149,9,2907,537849,WFFTSXVCAR,60 LDVCRMAFPH,DY WAB,62/245/8420,881057,PLLAIUMSEE,58 MRKXOVNBRE,QW GES,75/543/1182
919419,DYZGGOOZLC,152UTNAKDGYFC,19/02/2018,20190612,20190613,154,29,4731,522855,CBAAFWCBDH,5 XACGZZOXHC,VX ZJY,21/199/3081,795410,NBEPOVLMPX,22 WTQKEAHKDE,XS ONF,20/455/1511
461929,BLKBYJVFJN,104IKJELJNKCG,18/04/2018,20190209,20190210,70,2,6077,483683,KTQLNSWPZR,95 ABWMRGWZFF,DP UFG,71/736/3034,604538,HLSIORWIGI,66 JOLGNDMUVL,OX NNV,46/681/2814
144702,VDOKPNZJEK,825TWWOYYNHIM,26/05/2018,20190128,20190129,53,9,9932,537849,WFFTSXVCAR,60 LDVCRMAFPH,DY WAB,62/245/8420,378463,KULTVHDMXP,54 XQZKSYLASC,MC JJT,57/418/6011
572470,QWVSAVXDMG,452YWMVQGURKM,17/03/2018,20190202,20190203,131,18,8509,892101,OQGXZIBWPN,94 ZGBEOMGZSC,GW PLL,90/829/4001,872560,ITWIKQVZSH,17 RJTFIBYJDC,LA ERL,25/591/6144
501244,RJOTWXDHCW,700VJYSIVDLCX,22/04/2018,20191013,20191014,115,6,8664,556111,VKGVCXKPMW,16 JHYQBVONEQ,DI ROZ,68/891/6323,169409,EPWJLHDCWX,37 EVKFUXAWKG,MN XXN,54/868/1322
276392,CYJJBGBDSH,453RKWNMNZERA,15/01/2018,20190220,20190221,143,17,1736,840794,LITEIJTNPU,14 GZJFLESDEJ,JS MNH,68/796/1039,864831,NMTIRMFPFU,86 RGHBNETZQL,UE DSS,58/308/6720
139711,HPTFSHJDXN,175RWDDHAEKHQ,24/09/2018,20190424,20190425,133,22,9617,387043,PASGHQHFLF,59 YUAXRDVUTQ,EP ZET,67/787/7308,376454,RNZBHLYONP,64 XCTUIZVGYW,SA UPB,30/435/3761
357327,LLHPBOWWCZ,694INARQRPEJH,23/06/2018,20191119,20191120,134,14,5551,134218,GSXXYHSPCD,8 SRZJHNUTAE,RT BYB,57/190/1315,86356,KREOIGIRAQ,65 YGBXFYLSBL,FC KAZ,50/311/4527
658131,WTVWWBIRTJ,378PGZZGHPARQ,04/04/2018,20191128,20191129,42,4,2532,749730,WOCPTVJXRE,25 QCQKYNXMGA,WZ MUD,28/904/8338,387043,PASGHQHFLF,59 YUAXRDVUTQ,EP ZET,67/787/7308
883071,QZVNKTPIWH,174BRGIRCCHAK,08/08/2018,20190525,20190526,36,3,3981,197228,LYVUWEOMER,29 ZOJUJFVVCF,AN LMA,73/932/9136,904161,KTETSDKGNJ,99 SEGGTFHXRG,IZ RAY,12/324/7713
774940,XFFODFMRJC,513TZAKUCJJQW,26/03/2018,20190725,20190726,112,10,5893,148402,LZOKQEOZVE,29 OQLSRQBWJV,TR IYX,29/809/9045,224906,GLFSSFZJIL,19 SCOPPBRMZX,EE IIW,68/557/2428
638340,ZYJYXNLXAA,686NZSXILZGFO,21/04/2018,20191221,20191222,58,4,9322,340152,UTJJQAVWNM,26 UNSCMXVTXL,PC OGV,85/466/6078,963702,HZAHQPVLES,49 VOWGGOTYAW,HA FPU,88/694/2628
803931,HLCSTQCKBS,144ZEYIKSBWXK,11/10/2018,20190727,20190728,85,7,6605,133924,YZTGYVPGHJ,66 PRBFBSKEMR,AL HZR,59/623/8252,395837,CLPWXWVZSO,34 MMUYNKKALF,RB YJO,90/599/4706
353769,YUUVKHCFUK,455ITCJMLDHMS,22/06/2018,20190419,20190420,82,7,2508,746085,VFWRBUSMYD,84 ICYWCRJGND,GG NOY,46/908/7292,831675,ZXFNHQSKVQ,33 QBWVTZCQDC,PL EVU,47/479/9810
891367,ITLDXVCKPG,381POSDDMROOA,05/03/2018,20191125,20191126,120,22,2308,46048,OIYNIPYTRC,11 TARNLTGLDI,XA OLP,20/615/3347,124145,EWTLHMSMIE,44 QJPKEYEAGQ,UY HWW,28/293/6782
768445,MIBKSILHJJ,479IZOLYCIYKR,15/01/2018,20191021,20191022,155,29,1612,635476,XZEUCVCMBW,26 JZEOENSWSV,CT EQH,32/532/8560,188448,JUKIPZFKRU,40 DFFSZEMXUR,AE LHC,95/680/1007
105020,ZISTJBQGMF,909TGLASZQXDE,17/12/2018,20191110,20191111,86,9,1291,529084,DKEXOHAUYZ,4 XGFSKJROCM,WG MOX,73/922/4238,959653,FCFYFWJPYK,91 VNMHIIQTXB,ZG QSX,36/885/8878
820759,XDXDHXUPMX,655IWYOORIHPR,05/09/2018,20191123,20191124,172,6,9595,810896,LNATZMZXRG,58 PQRWEAMISN,CD CXM,76/443/2839,236629,JTPNTWPGZN,62 DNFDIVMEQD,AK RFC,28/899/6934
231790,IRICISVUOM,887LZCLRUUVXT,20/08/2018,20190414,20190415,54,7,1460,138839,LNEIGFOTUL,64 LIWIEGIDFT,BI BVP,47/946/7562,329566,RFDVUSTUEG,5 VKHJNRRCYK,UN LBN,14/493/9281
373145,QRBJTVIJMY,925EEUBHJSJKG,02/11/2018,20190206,20190207,143,5,2551,134218,GSXXYHSPCD,8 SRZJHNUTAE,RT BYB,57/190/1315,568621,ZUKPYVXVAF,90 EAQDTRAHAY,DG XJI,88/793/4165
561387,MRNCRKDIUP,861DZCIJSIASO,27/01/2018,20190907,20190908,91,6,2652,37245,PKTXDVJRZK,85 SUPKPQESLM,PB JQD,79/343/7034,339011,HSRSUOYDBU,69 LGKERPAPTW,WS ICT,33/397/6002
151112,OCICLJELFW,195GKUMPNNTZX,03/05/2018,20190608,20190609,81,8,6123,86356,KREOIGIRAQ,65 YGBXFYLSBL,FC KAZ,50/311/4527,218759,SVGOCEMOVN,31 LASSRTTORM,TU WIQ,15/442/6278
556040,FSMXYQEOFE,702FAAPHJJWCL,14/01/2018,20190901,20190902,150,5,4779,948401,MROJNFYKPR,61 IMTJBYBRHC,TA KQA,21/858/3667,573481,GTDQYFHUAI,14 VPACYRYGVJ,RT VJS,52/672/6036
818440,FKDANJHSAT,281GECENPGVKY,12/06/2018,20190624,20190625,157,6,9868,467563,XVWSYVCGPX,18 JSIQKLPRYP,OX ZVA,40/910/1916,407372,QXZEFSFHCO,64 DMTKKJOKTJ,DJ HTH,21/771/7140
445795,MIPOOXZNPC,695PLJOIILSFY,25/04/2018,20190602,20190603,151,26,7989,267518,XTPKUWZLBG,16 WTHPOJZCBU,HY ZOL,32/560/2297,384296,JCKXYHLVWN,99 ZXLENVDJZO,TD QYD,68/369/4414
75353,WSTSLFORSR,740CWBXJBDUMM,06/01/2018,20191026,20191027,76,4,7431,892101,OQGXZIBWPN,94 ZGBEOMGZSC,GW PLL,90/829/4001,941266,IHZUFWZXIP,4 XYOMOVGRNE,DZ WJO,41/173/2581
687128,OOJHMTGCPJ,701JDOQPJCGDH,06/04/2018,20190201,20190202,64,10,1024,806057,XZXNVHUHAU,79 DAQZSIEBNE,RQ VOW,41/434/4415,604538,HLSIORWIGI,66 JOLGNDMUVL,OX NNV,46/681/2814
799976,JIAIRJOGUG,409EUDZGUUAPM,14/06/2018,20190403,20190404,108,17,3296,189450,LDNRLQFQRD,92 YVAXKHGHKD,ML YTS,52/216/2149,791096,MZBNCOLTXR,6 MUGYBARPMW,AN ECZ,57/373/1691
325678,TBVVXDHUTN,935DAKOBZQRYT,12/01/2018,20190718,20190719,37,3,8685,573515,DFFZOZOGLO,71 INRHTYQCMP,AH TYL,25/923/7192,320758,QFDGHVWYMZ,97 KGDVYAPZGT,AX LRB,66/218/8559
644991,HTRKVFDAMT,134BJBDETDIPJ,14/12/2018,20190915,20190916,78,9,7494,221924,NTUEJHQUUK,92 VPETQRICMQ,IP NZY,45/564/2870,621990,BYPDKAUULX,31 CDVIAMOZYC,NC RJE,69/196/5890
478631,ELIJRQQZLT,560HMTUUJZDXR,28/05/2018,20191226,20191227,155,8,7220,86356,KREOIGIRAQ,65 YGBXFYLSBL,FC KAZ,50/311/4527,543666,YBUJVUSPPG,93 WLOYUVYTEB,XA PTO,14/414/7089
72401,CYHWYXGMGK,687TXNESCINCN,02/06/2018,20190221,20190222,106,8,1484,272511,XEHRXZSJEA,42 MMYOSGVYIK,QV RNN,41/788/6464,138839,LNEIGFOTUL,64 LIWIEGIDFT,BI BVP,47/946/7562
844260,ZUONUHPCIR,646CHENGYSAMH,01/05/2018,20190707,20190708,150,26,5946,617928,OLACRJOHWN,69 TCSTDKAYQW,HK JVL,48/693/2905,120117,SNLSZHPPBJ,56 OLAPDZMFDP,KV VXT,71/576/8674
98460,BGZHVTDXRA,177QHEJJOOCQN,01/02/2018,20191020,20191021,147,24,3709,460085,GRRBEQGIZO,90 TGYPOHWAUD,GZ GCU,31/892/1857,846805,AOGCMOHXZQ,89 GXPTZGZSXT,MK OTY,29/433/3234
973464,WGPZQCZRWQ,649JLFTHHYSPF,12/05/2018,20190814,20190815,115,4,8404,679180,XEVOUFJYAX,85 YPMSGGFIBF,KU XDU,62/404/6205,86356,KREOIGIRAQ,65 YGBXFYLSBL,FC KAZ,50/311/4527
727555,YTGRSHLUAC,615OHUFXUALGX,16/01/2018,20190622,20190623,74,3,4456,604538,HLSIORWIGI,66 JOLGNDMUVL,OX NNV,46/681/2814,543666,YBUJVUSPPG,93 WLOYUVYTEB,XA PTO,14/414/7089
665478,MLBSVQKZKY,906KQWAAKEVQI,23/08/2018,20191205,20191206,60,6,2212,598061,IAQKZOJDYO,22 TAZPXJTVDT,PF BFU,70/736/7684,800223,EFRGCFHUSH,41 PJDFGBTOPB,KV LWA,64/414/8990
851789,SDSMISISAZ,328WBTIEXVFOV,02/12/2018,20190524,20190525,57,2,4629,635476,XZEUCVCMBW,26 JZEOENSWSV,CT EQH,32/532/8560,527162,JSPFAOPUFJ,33 RBUNLTZIDG,QM YCF,20/744/9188
970717,WZMRTBKJUU,816CNDVUWDCVF,23/02/2018,20190407,20190408,45,3,2728,990691,HBMZIWPAXY,18 EMYNHVBBXS,DE XKV,70/624/9384,573481,GTDQYFHUAI,14 VPACYRYGVJ,RT VJS,52/672/6036
942261,FUHLMABFMN,764UPXKRHTZFS,07/10/2018,20190710,20190711,128,11,7967,170512,MMRKIZZBKF,55 DHPNLSLGFV,FA YGF,10/899/1847,959254,OYFCXVTOYL,94 IYOBHBTJWI,YB HWC,69/393/9398
466283,BOOZUKDMYN,287AUJRONHRMM,12/05/2018,20190122,20190123,113,17,7419,716861,OKXVARXTFW,93 VZLTMUSGNX,VL MJV,94/651/9064,807590,XYIRRFRUFI,83 KLCMYUCZYX,FG CAX,96/653/1479
